Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.10,000 cells (Mid) axis1 unboxed  scan.scanSeqMut",6476617,551564,80016,95,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanSeqFreeze",6382827,435708,80016,95,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanSeqFibre",10092260,878186,105681,95,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanSeqStrip",4695523,211194,81480,95,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanParFibre",13708599,852418,118328,162,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanParStrip",12100628,971618,92286,162,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanParSpark",12664337,928328,178211,437,82837504
"All.40,000 cells (Wide) axis0 unboxed  map.mapAxis (library)",72772119,6984218,966470,1147,82837504
"All.40,000 cells (Wide) axis0 unboxed  map.mapSeq",72829199,6723706,966470,1146,82837504
"All.40,000 cells (Wide) axis0 unboxed  map.mapPar",34247656,3318834,981343,387,82837504
"All.40,000 cells (Wide) axis0 unboxed  map.mapParSpark",92358447,6553600,1347876,5428,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanAxis (library)",32563903,1652484,320099,355,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanSeq",32706982,2106030,320099,355,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanSeqMut",32592175,1641184,320099,355,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanSeqFreeze",32536499,1730276,320099,353,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanSeqFibre",35056286,997140,320345,353,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanSeqStrip",35932202,3592776,323942,352,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanParFibre",22283239,2193814,335184,385,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanParStrip",24366113,2401970,335036,442,82837504
"All.40,000 cells (Wide) axis0 unboxed  scan.scanParSpark",64765258,3344820,1019771,856,82837504
"All.90,000 cells (Big) axis0 boxed  map.mapAxis (library)",4165648437,215081788,10820380,12243685,82837504
"All.90,000 cells (Big) axis0 boxed  map.mapSeq",4163704687,227296308,10820397,12270339,82837504
"All.90,000 cells (Big) axis0 boxed  map.mapPar",2247387500,223425116,10835250,3519895,82837504
"All.90,000 cells (Big) axis0 boxed  map.mapParSpark",2128707812,163715114,14751597,2786066,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanAxis (library)",573625781,52942402,2156106,249179,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanSeq",568001953,53770446,2156106,249167,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanSeqMut",565425390,54422050,2156106,249164,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanSeqFreeze",566671093,52986076,2156106,249162,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanSeqFibre",588698437,58459202,2156354,250482,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanSeqStrip",627180859,55009018,2159946,252975,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanParFibre",1536861718,114427284,2171315,893,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanParStrip",1381772656,111936164,2171218,894,82837504
"All.90,000 cells (Big) axis0 boxed  scan.scanParSpark",817681640,62732188,3848098,284614,82837504
"All.90,000 cells (Big) axis0 unboxed  map.mapAxis (library)",164200878,14186802,2169681,3544,82837504
"All.90,000 cells (Big) axis0 unboxed  map.mapSeq",164526269,13412914,2169682,3539,82837504
"All.90,000 cells (Big) axis0 unboxed  map.mapPar",64759863,5178222,2184538,867,82837504
"All.90,000 cells (Big) axis0 unboxed  map.mapParSpark",181841796,17373200,3050737,26734,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanAxis (library)",72838671,7001250,720109,792,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanSeq",73317773,6857566,720109,791,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanSeqMut",73090722,7265910,720109,790,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanSeqFreeze",73353320,6741612,720109,788,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanSeqFibre",75074267,7399986,720357,787,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanSeqStrip",79868066,7223328,723949,786,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanParFibre",34633642,3023494,735186,980,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanParStrip",40946777,3747160,735048,1456,82837504
"All.90,000 cells (Big) axis0 unboxed  scan.scanParSpark",125331494,6965220,2221272,1981,82837504
"All.90,000 cells (Big) axis1 boxed  map.mapAxis (library)",1040448828,54586262,5132070,1830327,82837504
"All.90,000 cells (Big) axis1 boxed  map.mapSeq",1036943359,54792400,5091251,1809252,82837504
"All.90,000 cells (Big) axis1 boxed  map.mapPar",965126953,64383034,5062754,818550,82837504
"All.90,000 cells (Big) axis1 boxed  map.mapParSpark",1038256640,59743194,5481385,1665568,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanAxis (library)",626307812,53623704,2967273,718208,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanSeq",654673339,19939000,2926380,706679,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanSeqMut",507560351,30905778,2155984,247384,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanSeqFreeze",507380859,30946830,2155983,247382,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanSeqFibre",548480664,30228842,2232846,263131,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanSeqStrip",495664257,29556276,2157448,248347,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanParFibre",1058469140,52743252,2245554,841,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanParStrip",1015555078,64126236,2168322,833,82837504
"All.90,000 cells (Big) axis1 boxed  scan.scanParSpark",581978906,56106090,3196373,340614,82837504
"All.90,000 cells (Big) axis1 unboxed  map.mapAxis (library)",82301464,6937050,1526460,117643,82837504
"All.90,000 cells (Big) axis1 unboxed  map.mapSeq",79982812,3411094,1485646,103284,82837504
"All.90,000 cells (Big) axis1 unboxed  map.mapPar",44714355,2685628,1457100,822,82837504
"All.90,000 cells (Big) axis1 unboxed  map.mapParSpark",101964160,7340810,1527259,109775,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanAxis (library)",83756005,7206296,1526461,117633,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanSeq",79932958,7001686,1485653,103257,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanSeqMut",52711499,3379650,720022,752,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanSeqFreeze",53186987,3367530,720022,751,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanSeqFibre",78985766,3435334,796886,751,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanSeqStrip",40095025,1188810,721481,748,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanParFibre",35479992,1827012,809571,929,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanParStrip",26332080,2083046,732294,1253,82837504
"All.90,000 cells (Big) axis1 unboxed  scan.scanParSpark",102455859,8991874,1528410,104480,82837504
